Product Name,Category,Rating,Reviewer Name,Review
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,3.0,Sandini W,Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. 
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Prasanga A,"All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier."
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,David,good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. 
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Vinu P,Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Mhd N,"Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) "
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Thuraisingham P,We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Rizana Z,thank u happy with it thanks. 
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Lakshitha P,"Better product, faster shipping, cheaper purchase"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,K.W.Rasika P,Products recieved as mentioned. Fast delivery. Thanks.
"Rin Refresh Detergent Powder, 500g",Laundry,2.0,S.S.A. S.,package damage.☹️😤
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Buddhi J,The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.
"Rin Refresh Detergent Powder, 500g",Laundry,4.0,Dasun,"Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall 😍"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Dilanka S,Loved the discount. Good product. Thanks 
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Mohan S,Good packing. Fast delivery. I'm really satisfied .😊 Thank you daraz.👍
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Jayathilaka,Well packed all these things amazing..highly recommended💕
"Rin Refresh Detergent Powder, 500g",Laundry,3.0,Niroshan S,Safely packed. Original products.
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Dinidu,safely packed. good seller
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Buddhika,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,1.0,Sachintha,Price is different. 
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Nipuna W,Quick delivery.nicely packed.Item as described.Recommended
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Yaswanth,received within 24h 😊 in good condition ☺️. well packed.
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,2.0,Mohamed A,so many damages to box of the package 
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Sujeewa,"Good quality, well packed and quick delivery."
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Kapila L,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday daraz❤
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,2.0,Shoumiyan,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,3.0,Susanthie M,Not upto my expectations. I find Wonderlight soap better in my washing purposes.
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Mohamed R,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,4.0,Hasitha H,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Rangika,Fine Same as picture.
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Viyajaratnam,Much appreciated
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Thiyakaraja K.,It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell 👃 is ok 👍
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Kamal S,Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Kajapapu,Good product. Delivery is very slow. Because they take more than 5days to deliver. 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Wiraj N,Good product & fast Delivery. My first order. Highly Recommended this seller 👍
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,1.0,M.M.Asjath,delivery too much late 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Iynaz N,very low quality.... 😕 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Pubudu P,No fragrance 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Narmatha,Good smell 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,3.0,Rushanth,I Ordered conditioner … but I received dish wash But anyway I return it …. But products are so valuable but customer service 👎
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Nishanth,This fabric softener is soo good and affordable too. I hope to buy more in future. Thank you for great customer service.
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Rajiv S,"useless product. After wash don't get the fragrance, I get only the washing powder fragrance. supplier inform manufacture not to cheat the consumers. "
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,1.0,T.M.Amaratunga,"I ordered 1 of 4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains and 1 of 4L Comfort Perfume Rose After Wash Fabric Conditioner Royale Liquid but I received 2 of 4L Comfort Perfume Rose After Wash Fabric Conditioner Royale Liquid and managed to share with a friend Anyway thank you for speedy delivery. "
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Binosh J,when we open the bottle it comes a good & nice smell but when we put the liquid in to the cloths it doesn't shows any different & it doesn't come even a good smell.
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,3.0,Enosh G,fast delivery 🚚🚚 but quality is not good
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Lakshitha L,Good products for a reasonable price 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Janaka H,good product . cheaper . thankyou 
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Lasith,The product came on time . Very good product
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Ajmal A,WELL PACKED Item as described Quickly delivered
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Keerthi K,Thank you Darz & Unilever
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Isuru K,Packed nicely. Delivered on time.
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,1.0,Kanishka,"There was a tear in the package and it has spilled some of the detergent powder. Not satisfied, should have used more of a solid packaging"
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,4.0,Ashanka D,Recommended for guys who interested of buying from this site well packed delivered in time .
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,4.0,Aniska,Great product! No issues! As good as purchasing in a store but a lot easier 😊
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,1.0,Revi K,Wrong item delivered and returned. Still refund has not been made 
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,1.0,Jeromi G,product was not delivered. please deliver it. Don't cheat
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Sabesh A,super and very good discounts and good every is perfect 
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,2.0,Jathusan K,there were holes in the bags small damage
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,1.0,Kanthasamy J,Some of the bags had tiny holes 
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,3.0,Vithu R,Bag had a tiny hole
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Chamida C,Good for front loading machines low studs 
"Surf Excel Matic Front Load Detergent Powder, 1kg",Laundry,5.0,Nadika P,Items safely packed. Well done.
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Chathura K,"Product quality is excellent... Newly manufactured and fresh, expiry date is not even closer... Original product directly from official store of the company... Unbelievable price with a good discount from daraz and credit card... Definitely worth for the money... Packaging was perfect and no damages what so ever... Shipped within a day to Matale... Seller and the item highly recommended..."
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Dakshitha N,"safely packed well. I ordered more products from this Store. no complaints yet to this shop, the liquid is also wrapped with bubble wrap in a one by one and therefore any leaks. thanks a lot & I hope to shop with this store again..."
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Pavithra,Totally happy about the order and the product. Very important thing is this discount system is so good. Satisfied with the order 🖤
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Chanaka N,super product as described.. I have got this below the market price. thanks daraz 
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,1.0,Suramyadilshan F.,These things not delivered ..but displaying delivered …is that a joke🤷‍♂️🧐🧐
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,2.0,Hasitha,I have never received this order. The refund has been done with partially 
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,3.0,Samy,Not bad. It's just that prices are rising day by day
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Buddhika,Product as described and well packaged. Delivered within 3 days. Good quality.
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Pramod F,"Good product, recommended. Package was well packed and very quickly delivered "
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,4.0,Ephiram,Fast n efficient as always. Thanks Daraz. 
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,3.0,Miran K,"It was for the same price but, after receiving discounts the price was comparatively low. Received on time no any damages occurred"
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Shashini N,Got the package today... The seller gave a good service.
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,3.0,Arivu I,I ordered 3 pieces sunlight pack.but there are only two is available.one is missing
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Thilini L,I received my order today . best products and best services . Thank you ☺☺
"Sunlight Yellow Detegent Soap Multipack, 330g",Laundry,5.0,Jeshan G,Received an amazing 11/11 sale discount. Paid only around Rs 125. 
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Saldin D,The items was the same as well shipped it very fast.The seller has packed it very well in a box. I got a reasonable price discount for these products. thank you. 
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,1.0,Krishnan A,lebaled price 140... but this product bill 170... over price.... ... i complain daraz service center .. but they didnt response my complain .. dont buy this product ..
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Manoj,Full safety pack fast delivery thanks daraz
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Francis D,Ordered in the morning delivered in the afternoon. Properly and safely packed and enclosed in a box. Good service and good product
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,4.0,Inav,packing is really good. Good customer service. Thank you.
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Savinda D,"Highly recommend this store,well packed my order, Thanks"
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,4.0,Hazeeb,Best quality with affordable price.Thanks to Daraz.
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Imashi C,easy way to pay out utility bill
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,4.0,Sanam,Really good product.
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Aynkaran A,"Recevied the product in good condition , Fast delivery , High quality products"
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,3.0,Madhura G,"Recevied the product in good condition , Fast delivery , High quality products"
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Miran,The products were delivered just within 24 hrs and it was well packed and got it for a very reasonable price as well
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Saman W,Good item and fast delivery. Recommended to deal with daraz and thank u for your superb service.
Diva Power Germ Guard Liquid Detergent Refill 450ml,Laundry,5.0,Aditha S,"Amazing smell after wash, kid friendly is a added bonus 👍"
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Kevin K,Good product. Worth for money. Delivered quickly and Safely.
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Viki L,Thick gel. Good smell. Haven't tried it in the case. Fast delivery. The packaging is good
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Aswin A,GOOD PRODUCT WORH THIS PRICE 👍👍👌👌
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,1.0,S.A.Sri,Its definitely mixed with water. 80% water
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,4.0,Chinthana G,good quality..recomanded
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,2.0,Nimshan K,its really bad... no foam at all. waste of money
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,1.0,Loshitha D,Not recommend to buy. It’s just like water. Very low quality . Leakage in the packing 
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Ruchira B,Good. Worth for the price you pay. 
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,4.0,Samra J,👍 next time please do take extra measures to avoid leakage.. happy with the purchase
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Nirmani A,Was packed well ! Amazing service Came within a day since I chose express delivery
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,4.0,Rupa S,very Good thanks. I got the offer thanks
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Binindu G,"Quick delivery 🚚 and quality products, Appreciate the service.. Thank you Daraz 🙌🏼"
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,2.0,Rushdha N,damaged product
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,4.0,Hana D,received. but small leak from one bottle 
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Nasath M,authentic product for best price
"4L Care And Hygiene Toilet Bowl Cleaner, Blue, Toilet Cleaner with 10x Power Clean Gel Formula helps remove tough stains",Cleaning,5.0,Priya R,Product and Packing 5/5 
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,1.0,Anura D,The supplier has stated in the Q&A section the product mfg date as oct 21. But what he sent me today has mfg date printed as june 21. Hence with a shelf life of 2 yrs it will expire in less than a month. Now what am i going to do with 2 of these items i ordered believing expiry is oct 23? Why you deceive customers like this?
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Nandika D,"Good item, was looking for something like this. Thanks. Contents seem satisfying."
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Jesusra,I received my order within 24 hours. best products and best price .really appreciate the discount.
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Nimesha S,Speed Delivery. Safe Packing Product is really good. I bought this spray for my car seats. It works well. Its sprays just like Mortin. It has a fragrance too. Definitely buy it again. Very useful in these days.
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0, Ashokumaran,Speed Delivery. Safe Packing Product is really good. best products and best price .really appreciate the discount.
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,4.0,Yaseen I,Awesome product. Very well packaged. I’m so glad brought this to the market. 
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,4.0,Sharu L,Speed Delivery. Safe Packing Product is really good👍🏼 
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Jessi R,Received in couple of days and works as expected.. A product one needs to have these days !
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,3.0,Sushanka,Actual product does not say that it disinfect COVID-19 virus
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,1.0,Dilhan R,"The product is good. But, not worth for the money"
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,3.0,Shermali P,Love it but I don’t like the smell of it.
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,4.0,Kalpa D,"It says H1N1 on label but on description says covid19, it smells natural, ok for the price but cannot give 5 star"
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,1.0,Elil F,Completely ridiculous smell! I got complains from family members because the smell is unbearable headache enducing. I request the Daraz marketing team to get the flower fragrance version of this Detol Disinfectant spray or simply with no fragrance because it's needed product for this pandemic but this pine cone fragrance is unbearable headaches enducing!
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,2.0,Nimal P,Doesn't evaporate even after 2 minutes. Leaves an glueish texture when wiped from cloth.
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,3.0,Anushka L,"Terrible smell, it gives a headache. "
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,1.0,Usha K,Damaged!!!
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Kamal K,Well packed and arrived pretty quickly.Thanks 
"Dettol Disinfectant Spray Original Pine Fragrance, Sanitizer for Hard & Soft Surfaces, 225ml",Cleaning,5.0,Anu A,I use it on almost everything. I also clean my top up net with it 
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,5.0,DAMINDA P.,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,2.0,Mohamed S,Pack was leaked. They have used only bubble wrap. Better if they sealed the lid. I hope it is because of delivery. Delivery is worst as daraz got support from Certis. Took a week to deliver. 
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,5.0,Uthra K,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,5.0,Aynkaran A,"Received very fast , good packing , affordable price lower than the market , Highly recommend to buy"
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,5.0,Joy T,yesterday evening ordered. today received. what a speed delivery in this pandamic period. quality product also. more power.
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,1.0,Ashen M,Very bad all are leaking
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,2.0,Himi J,"Don't take the stuff from them. I got harpic 5. All the five bottles from them are not half of the five bottles. I've got all the other stuff I've taken, and all the stuff I've taken is left in the same box. All the harpics are washed with harpic."
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,1.0,Kavinda D,when I opened the itam it was leaking 
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,3.0,Chinthaka D,The seal was broken and leaked everywhere inside the package. Waste of money.
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,3.0,Harsha J,Leaked from the packing. Fast delivery. Thanks
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,4.0,Yuvan F,I ordered with some other goods. but this one is leak and absorb to some other. otherwise satisfied packing and prices.
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,5.0,Vimukthi H,i ordered 1 but received 2 
Harpic Toilet Cleaner Liquid with Power Plus 10/10 Stain Removal 750ml Original,Cleaning,4.0,Ellan Q,Good product. Slight leakage when receiving. 
