Review,Price,Quality,Delivery Cost,Packaging,Overall Sentiment
this is a great trash bag  love the scent because it takes away the smell of whatever you put in it  they are very strong and hold more than you think,-,very good,-,-,very good
i love these trash bags they fit our kitchen garbage can just perfectly and i never had one break  even when overloaded the smell is also sooo good,-,very good,-,-,very good
i love these bags they are very sturdy very stretchy and hold a good amount of trash i never have issues with them ripping they smell amazing and are hands down my favorite if they made a 4 gallon size id buy those too for my bathrooms if youre looking for a good bag for your kitchen trash these are them,-,very good,-,-,very good
i like these bags they smell great and stretch and last a while last time i bought a box of these it lasted me a few months ,-,-,very good,very good,very good
i was hesitant to purchase the lavender scent since its not my favorite but this scent is actually very nice the bags can handle heavy waste and tie nicely,-,-,-,-,-
these are a standby at my home they come in a way i particularly like in the box as wellthere are 4 rolled up sections so you only have to take one roll of bags out at a time letting you store the other rolls in your cleaning closet etc i much prefer this over pulling out one bag at a time they always seem to get messed up these are sturdy enough for all the trash we have in our home so there are no problems with seams opening etc a good value for the cost a good staple to have on hand,very good,very good,very good,very good,very good
as we all know the prices of some basic household items had skyrocketed very cheap trash bags that i tried didnt work well or tore as easily as tissue paper i though id give the amazon brand a try and im glad i did theyre an economical alternative to the very expensive brand name bags and are sturdy enough to hold quite a few items considering the price for the number of bags and the drawstring closure i will be buying these again as needed,very good,very good,-,-,very good
we used  to buy our unscented kitchen trash bags at target but all of a sudden they dont have any  were so happy to find these 120 unscented bags on amazon  they arrived in a mediumlarge box with the bag box inside it  there were four rolls of 30 bags each  i opened one bag to make sure it was really 13 gallon size and that it was unscented  only problem is you need to get rubber bands or zip lock bags to hold the rolls so they dont unravel  they are bare rolls with nothing holding them together  we couldnt fit them all in our kitchen drawer so put rubber bands around each roll and stored some in the pantry  they should last us several years,-,very good,-,very good,very good
if your anything like me your waiting last minute until you have no trash bags left and trying to balance your daily life and not sure when you will actually have time to go get a new box wellllll im here to tell you that this box of trash bags last soooo long they lasted so long that i ended up doing subscribe and save because i was so impressed i literally never run out and when a new box comes in the mail i still have some left from the previous order they work they wont break they do the job,-,very good,very good,very good,very good
i consistently use these garbage bags now and have completely stopped using the more expensive brands these hold a ton of garbage in a very busy household and i have never had one break will continue purchasing every time i need garbage bags,poor,poor,poor,-,poor
"i regularly price out trash bags i dont know why haha these have been cheaper than i can find anywhere else walmart aldi etc

they are good quality ive never had one split open i get a box about every 8 months with subscribe and save and its great",very good,very good,-,very good,very good
these are slightly thinner than comparable brand name bags but thats to be expected from any house brand product havent had any issues with tearing or failure which is the important thing would buy again if i couldnt find the brand names on sale,-,poor,-,-,poor
"i have ordered these amazon basics tall kitchen drawstring trash bags twice already and i must say they have been satisfactory both times the package includes 120 trash bags that measure 24 inches wide and 27 3/8 inches tall with a thickness of 09 mil each bag has a capacity of 13 gallons and features a white color with a red drawstring closure that makes tying and carrying easy

i appreciate the convenience of being able to reorder these trash bags using alexa voice shopping all i have to do is say alexa reorder amazon basics tall kitchen drawstring trash bags and my order is placed

overall these trash bags have been reliable for my household needs and i will likely continue to purchase them in the future",-,very good,very good,very good,very good
these are standard paper towels that do its job as expected good value for the amount of paper towels you get the rolls allow for half and full sheets they dont tear away easily as each time i take one it tears from itself or the following sheet,good,good,good,-,good
my daughter in law joked that she wanted a year long  supply of paper towels and toilet paper for christmas so i put this on a monthly subscription for her  she said its the best gift shes ever gotten haha,-,very good,-,-,very good
"i recently purchased the amazon basics 2ply paper towels flexsheets 6 rolls and i must say i was pleasantly surprised i was initially worried that the material would be too hard and not very soft but i was pleasantly surprised to find that it was actually quite absorbent and easily tears nicely

the rolls are of a good quantity so you have a good amount of towels to get through they are quite thick and feel a lot more sturdy than some of the other paper towels i have used in the past they have a nice texture and feel to them so they dont feel too rough or flimsy when youre using them

i have found that these paper towels are very absorbent and pick up any spills with ease they are also easy to tear and dont break apart when youre trying to tear off a sheet ive also found that they dont leave any residue behind and they dont leave any lint on surfaces or your hands

the only downside i can think of is that they are a bit hard not as soft as some of the other paper towels on the market but overall i think they are a great product and i would highly recommend them to anyone looking for a reliable and absorbent paper towel",-,very good,-,-,very good
these paper towel are decent not your thickest but also not the thinnest the main thing about these paper towels is when you tear off half sheet it does not tear off cleanly it may take some time to learn how to tear cleanly with these compare to the good brands that just tear with no special pull other than that they will dry your hands with half sheet not bad for price once you learn how to tear,very good,very good,very good,-,very good
these are a steal the product is good quality and the shipping was fast i didnt want to spend a ton of money for something i wipe my hands on and amazon brand consistently offers great deals on name brand stuff,very good,very good,very good,-,very good
we made the switch as these are cheaper than other brands however the absorbency is not quite comparable the sheets are more thin than bounty and the rolls are a bit smaller overall it still made sense to switch with the price difference and i would say on average they are about the same as some of the leading brands,neutral,-,-,-,neutral
i have this on auto ship and im on my third case now i like the select a size but in this case of towels the perforation isnt complete and the towels dont tear apart easily or evenly for that matter these arent as absorbent nor as soft as the pricier bounty brand but they are cheaper so youre getting what youre paying for im on my fifth roll of my most recent case and all five have had the perforation issue it defeats the purpose of select a size i may move to plan b for my next selection of paper towels,poor,-,-,-,poor
quality is adequate but due to thinness every tear leaves part on next sheet,-,neutral,-,-,neutral
i have been a faithful user of a different brand of toilet paper for decades yes i will admit i am a tp snob my family and friends all know my preference of tp and when i go to their houses for visits i always ask when are they gonna get the “good” toilet paper? i wasnt above taking my own tp when i went for visits well when the pandemic started and toilet paper became harder to find than a hens tooth i ordered as much of whatever tp i could get and was glad to have it that is when i discovered cottonelle oh my goodness why had i been wasting all those years on the “other” brand that i thought should be the only  toilet paper in the world when i could have been using cottonelle? i did eventually had orders of that other brand delivered but honestly they are in my storage closet just in case of an emergency i fell in love with the texture of cottonelle it doesnt “shed” little fuzzy lint all over my bathroom and me like the “other” brand did i have found that cottonelle is stronger yet still very soft and i feel much much cleaner using it than i ever did with my old brand so yes i am still a tp snob except i have changed brands never ever in a million years saw that coming but it did so i totally 100 recommend cottonelle thank you for reading my review and i hope that i may have encouraged you to give cottonelle a try and see the difference for yourself take care,-,very good,-,very good,very good
ok  its only toilet paper but like to know what im getting and with cottonellle  im good  always my first choice and will go looking for it if i need to re supply,-,very good,-,-,very good
we all need it its tp toilet paper awipe its soft absorbent doesnt have perfumes or dyes doesnt leave lint on your bum  it will clog your pipes if you dont watch the little ones and they put too much in the potty it makes a great gift for when there is a death and lots of epe go visit someone no one wants to think about needing to go buy extra tp send a case of this cottonelle ultra comfort toilet paper it will lighten the mood and people will laugh and talk kindly about you i highly recommend this tp buy some today,-,-,-,-,-
"this is one of the very best toilet tissues i

have every purchased  i would highly recommend this product",-,-,-,-,-
this is the best toilet tissue ive ever used as advertised it does not leave lint and i feel it is reasonably priced for what you get,very good,very good,-,-,very good
i hate how much toilet paper costs but i appreciate the softness of this brand and this pack helps save money,very good,very good,very good,-,very good
i only say second best because i always follow up with a flushable wet wipe from dude wipes otherwise these would be the best,-,-,-,-,-
price was okay prefer this brand,good,-,-,-,good
i purchased these plates they are great i use them to warm food in the microwave and serve meals on them they are durable and easy to use just toss after use,-,very good,-,-,very good
dixie is a fine brand dependable,-,good,-,-,good
it really functions works so much better than the flat paper plates this one is great in the micro,-,very good,-,-,very good
heavy duty sturdy,-,-,-,-,-
the plates come in 3 bundles within a box  well made as dixie plates always are,-,-,-,good,good
sturdy great for everyday use,-,very good,-,-,very good
product is as expected  however  there are not 3 equal packages in the box  not sure what happened to the little one but clearly not 3 packs of 68 plates,-,-,-,good,good
i dont like washing dishes these plates are strong and hold the food with gravy very well,-,good,-,-,good
"i absolutely love this wireless electric spin scrubber it has made cleaning so much easier and faster for me the battery life is great and i can easily clean my entire bathroom without having to recharge it the scrubber is also very powerful and effective at removing grime and dirt from hardtoreach places

the different brush heads are very useful and i love that they are interchangeable i can switch between the soft and hard brushes depending on what im cleaning the handle is also very comfortable to hold and the extension arm allows me to reach high places like the shower walls and ceilings without having to stretch or strain

overall i would highly recommend this wireless electric spin scrubber to anyone looking for an easy and efficient way to clean their home its a gamechanger",-,very good,-,-,very good
i used this to clean my bathroom and this works wonders  no more stressing much with hands  very easy for cleaning purpose,-,good,-,-,good
this electric brush makes cleaning so much easier no more scrubbing and it is one button operation comes with multiple brush heads and has 2 speeds also charges via usbc so very convenient,-,-,neutral,-,neutral
this electric spin scrubber is perfect use it to clean the bathtub and the sink and so far works great the size is small and has a good grip on it,-,very good,-,-,very good
i dont like cleaning but this machine help me a lotits easy to use and cleans better than hands,-,very good,-,-,very good
it has really made my life so much easy its very easy to use and pretty efficient i love that it has different attachments for different surfaces,-,very good,-,-,very good
so far ive used this powered scrubber a couple of times and it has given a satisfactory result for the purpose i bought it forcleaning my new apartments bathtub what i liked most was the cordless feature as i dont feel very safe cleaning something wet while still connected to electric socket i like all the extra heads they have provided to reach all the nooks and corners no more elbow greasing for cleaning bathtubs,-,good,good,-,good
i did not like to clean the kitchen this machine helped me a lot easy to hold and control it cloud protect my finger and nails thanks a lot,-,very good,-,-,very good
i use a lot of facial tissues and these are soft  i can use them many times a day and they havent caused any problems with my nose on the inside or outside,-,good,good,-,good
i couldnt get to the store because my car is in the shop and since its springtime my allergies are bothering me a lot making my eyes  nose run i end up blowing my nose so much that it gets so sore and turns bright red feeling terribly raw so ive always used puffs plus lotion because they help keep my nose from getting super bright red tender  raw since this was an 8 pack they should last me a good long while,-,very good,very good,-,very good
i teach and you can never have enough tissues puffs is the quality i want for my family and my kids red heart,-,neutral,-,-,neutral
very soft great value nice thickness till im not too thin so they tear easily these are really nice im glad i got them these are really nice im glad i got them,very good,-,-,-,very good
my allergies cause my nose to run like a water faucet puffs plus never makes my nose sore at all,-,neutral,-,-,neutral
very soft and relatively thick not too absorbent but im primarily using it to wipe my noise so that wasnt a feature i was looking for i have paper towels for that one box lasts me a good month so eight boxes should last me a whole lot longer a few boxes came damaged but thats more of a shipping issue  ill live but wish theyll be more careful,-,good,good,good,good
this is the tissue my wife prefers,-,-,-,-,-
it has not been as easy lately to find puffs plus  i was happy to find them on amazon i tried kleenex and they just dont compare,-,-,-,-,-
my order that came by ups last week the package was torn and opened so i talked to the ups driver and he helped me and he called to his manager about what happened so i ordered a replacement power battery i was happy the ups driver said he always stay in contact with his boss if the package is torn or damage upon arrival my nieces use the battery for her music player and my mom also uses the battery for her mini radio to listen to the local news radio this battery pack sure save me lots of money because the stores sells a 4 battery for 65 for 9 packs  im glad i purchase from amazon 5 stars,very good,very good,-,very good,very good
ordered these batteries as i have in the past i usually get one large box as described in the ad and photo i received three “not for resale” old boxes that were opened and spilled out in the envelope and then a fourth random 8 pack from singapore batteries appear old and im not sure what happened in this one but i will be returning these as i dont feel confident using them in any of my devices safely,-,-,-,neutral,neutral
so i normally get the duracell batteries but i saw these in my amazon shopping feed and i decided to give them a try i was shellshocked because everything i put them in needed another battery within two weeks usually i can put in a duracell battery and i wont have to even think about it for quite some time so i dont know how they got all these good reviews and less i got a bad batch? which i feel highly unlikely,-,neutral,neutral,-,neutral
product arrived in two different packages  one had three packages inside non were torn but the outside package was flimsy and had fallen apart  the other package was a single pack of 8 batteries  it was open but all 8 batteries were included  appeared that product had been in high humidity storage  does not appear to have any damage to any batteries but wonder if they will perform as well after the storage method seems doubtful,-,-,-,bad,bad
my sons xbox controller uses them like candy  i buy  beautifully wrap a box of these for him for every gifting occasion and tuck cash inside too,-,very good,-,very good,very good
the best price i have found on aa batteries  energizes are always the best,very good,-,-,-,very good
got these awhile back and waited to do the review to see how long they would last my household lol with kids toys and tv remotes and such that use batteries like crazy i didnt have high hopes for this package lasting longbut boy was i wrong i still have over half a package left these suckers last a long time you play a game of chance getting them from the stores cause you have no clue how long they have been sitting on kiosks or in the back of the store but theseits like they came straight from the factory fully loaded they have yet to die out im kinda happy about it but kinda unnerved about it as wellcause now i have to hear the noise making toys all day every day lol what have i done by buying these things??,-,very good,very good,very good,very good
worked out for me,-,neutral,-,-,neutral
this may not mean a lot to many people but it does apply to me i have a paper towel holder and ive noticed that the majority of the paper towels the brown roller device that holds the paper towels together is always a little bit too small and so when i put it on the paper towel holder it barely fits and its ridiculous to try and get paper towels off but for some reason on this particular brand they make the roller bigger so the paper towels spins off the holder so much easier the paper towel themselves are similar to other brands they work as desired but because of the bigger circumference of the cardboard holder inside the paper towels and how easily they spin on the paper towel holder  these are the paper towels i will be buying from now on,-,very good,-,-,very good
consistent quality bought at 26 off sale 90 cents per 100 sheets saves a fortune by not using strong premium priced towels for 90 percent of your spills and pickups also gives size option with tear sheets,poor,poor,-,-,poor
great price especially for an area that needs to be treated with love and comfort last thing you need to do next is a review for hemorrhoid medicine go 2 ply its the best ply,very good,very good,-,-,very good
this towel is noticeable lighter and thinner than a bounty towel of the same size but im my opinion bounty thickness is overkill for most of the quick things i use them for  so this lesser towel is still suitable for my needs and comes in at a lower price  if i have a heavy task i just double up  and these tear like a dream so i can do the one hand yank without making a mess thats what she said and yank one off the towel holder without both hands usually required for bounty or both hands and your foot required for brawny  my advice try them for yourself and decide  maybe you will take your business away from bounty who has lost their mind on pricing,very good,very good,-,-,very good
there was way more than i expected for the price the cabinet is stuffed full and i highly doubt ill be running out soon i severely underestimated the amount and im happy for it absolutely worth the money and then some,bad,-,-,-,bad
it is a good product,-,good,-,-,good
i use these for spills windows mirrors  whatever else i find use for them,-,neutral,-,-,neutral
these paper towels are a good value,very good,very good,-,-,very good
this is the best toilet paper in existence and the only acceptable one for our household according to my wife im not too picky about toilet paper though some certainly qualify as substandard but my wife has requirements and standards lucky for me shes not that picky about husbands ive bought regular old store brands and suffered for it i wanted to try some neat ecofriendly bamboo tushy tissue and she gave it a shot but declared it didnt make the cut i stock any old thing in the kids bathroom but under her throne its charmin for her or the dog house for me,-,very good,-,-,very good
not quite as soft as their other products but darn close enough strength is very good will buy again and again especially at this price,very good,very good,-,-,very good
good tp,-,good,-,-,good
this is the only version of tp i buy because it leaves zero lint and holds together when you use it,-,neutral,-,-,neutral
great offer,-,-,-,-,-
while the roll has more sheets the width of the sheets is a little small,-,-,-,-,-
what i wont like about this product would be finger penetration if i have to tell you what i use this product for then you are probably not seeing the humor in any of this last hll no on a photo,-,bad,-,-,bad
simply the best toilet paper its expensive but worth it im a charmin snob haha,very good,-,-,-,very good
