Product Name,Category,Rating,Reviewer Name,Review,Review_without_emoji,preprocess_text,preprocess_text1
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Shai S,Blue color comfort 2 bottles were damaged and leaked..... ,Blue color comfort 2 bottles were damaged and leaked..... ,blue color comfort 2 bottles were damaged and leaked ,"['blue', 'color', 'comfort', '2', 'bottles', 'damaged', 'leaked']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Isuru V,"Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed.","Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed.",half of the bottle is leaked why the manufacturers cant seal mouth of the bottle poorly packed,"['half', 'bottle', 'leaked', 'manufacturers', 'cant', 'seal', 'mouth', 'bottle', 'poorly', 'packed']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,A L,good service...safty packing...fast delivery...thank u daraz...😍,good service...safty packing...fast delivery...thank u daraz...smiling face with heart-eyes,good servicesafty packingfast deliverythank u darazsmiling face with hearteyes,"['good', 'servicesafty', 'packingfast', 'deliverythank', 'u', 'darazsmiling', 'face', 'hearteyes']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,4.0,Chamara G,Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.,Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.,since unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing gives your clothes an everlasting wonderful smell thank you unilever and daraz mall excellent delivery by lk dex agent mohamed azar,"['since', 'unilever', 'introduced', 'comfort', 'fabric', 'conditioner', 'srilankan', 'market', 'comfort', 'morning', 'fresh', 'impeccably', 'wonderful', 'appealing', 'gives', 'clothes', 'everlasting', 'wonderful', 'smell', 'thank', 'unilever', 'daraz', 'mall', 'excellent', 'delivery', 'lk', 'dex', 'agent', 'mohamed', 'azar']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,2.0,Sifa P,Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis 😡,Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis pouting face,sellers stolen some quantity of liquid cant give stars only hv 3/4 part inside  i bought 2 bottles both r same  whn we r buy thru food city or somewhere not lyk dis pouting face,"['sellers', 'stolen', 'quantity', 'liquid', 'cant', 'give', 'stars', 'hv', '3/4', 'part', 'inside', 'bought', '2', 'bottles', 'r', 'whn', 'r', 'buy', 'thru', 'food', 'city', 'somewhere', 'lyk', 'dis', 'pouting', 'face']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,3.0,Sandini W,Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. ,Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. ,comfort bottles were not well packed and has been leaked to other goods overall other goods had no damages ,"['comfort', 'bottles', 'well', 'packed', 'leaked', 'goods', 'overall', 'goods', 'damages']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Prasanga A,"All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier.","All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier.",all bottles arrived safely packed wrapped in bubble wrap no leaks or spills thank you seller daraz and the courier,"['bottles', 'arrived', 'safely', 'packed', 'wrapped', 'bubble', 'wrap', 'leaks', 'spills', 'thank', 'seller', 'daraz', 'courier']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,David,good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. ,good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. ,good and well packing best product worth for money highly recommended  delivered by just 20 hrs thank you darz for your service ,"['good', 'well', 'packing', 'best', 'product', 'worth', 'money', 'highly', 'recommended', 'delivered', '20', 'hrs', 'thank', 'darz', 'service']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Vinu P,Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.,Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.,product is as described packaging was done well and the shipping was done very promptly and received it very quickly extremely satisfied and i highly recommend this seller and product,"['product', 'described', 'packaging', 'done', 'well', 'shipping', 'done', 'promptly', 'received', 'quickly', 'extremely', 'satisfied', 'highly', 'recommend', 'seller', 'product']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Mhd N,"Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) ","Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) ",took long time and customer service team response was not satisfied  while they put me on hold chat end and i have to re inform again with new agent and again from the beginning i have to explain them that was very annoying  ,"['took', 'long', 'time', 'customer', 'service', 'team', 'response', 'satisfied', 'put', 'hold', 'chat', 'end', 'inform', 'new', 'agent', 'beginning', 'explain', 'annoying']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Thuraisingham P,We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .,We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .,we know about the product what we did not know is the delivery speed got it in jaffna on the following day ,"['know', 'product', 'know', 'delivery', 'speed', 'got', 'jaffna', 'following', 'day']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Rizana Z,thank u happy with it thanks. ,thank u happy with it thanks. ,thank u happy with it thanks ,"['thank', 'u', 'happy', 'thanks']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Lakshitha P,"Better product, faster shipping, cheaper purchase","Better product, faster shipping, cheaper purchase",better product faster shipping cheaper purchase,"['better', 'product', 'faster', 'shipping', 'cheaper', 'purchase']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,K.W.Rasika P,Products recieved as mentioned. Fast delivery. Thanks.,Products recieved as mentioned. Fast delivery. Thanks.,products recieved as mentioned fast delivery thanks,"['products', 'recieved', 'mentioned', 'fast', 'delivery', 'thanks']"
"Rin Refresh Detergent Powder, 500g",Laundry,2.0,S.S.A. S.,package damage.☹️😤,package damage.frowning faceface with steam from nose,package damagefrowning faceface with steam from nose,"['package', 'damagefrowning', 'faceface', 'steam', 'nose']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Buddhi J,The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.,The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.,the best product delivered items fast and safely through through dmart express deliverybig thanks to daraz dmart teamwishing you both companies a lot of success,"['best', 'product', 'delivered', 'items', 'fast', 'safely', 'dmart', 'express', 'deliverybig', 'thanks', 'daraz', 'dmart', 'teamwishing', 'companies', 'lot', 'success']"
"Rin Refresh Detergent Powder, 500g",Laundry,4.0,Dasun,"Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall 😍","Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall smiling face with heart-eyes",fast delivery all the items were well packed thank you daraz  hope to buy more from darazmall smiling face with hearteyes,"['fast', 'delivery', 'items', 'well', 'packed', 'thank', 'daraz', 'hope', 'buy', 'darazmall', 'smiling', 'face', 'hearteyes']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Dilanka S,Loved the discount. Good product. Thanks ,Loved the discount. Good product. Thanks ,loved the discount good product thanks ,"['loved', 'discount', 'good', 'product', 'thanks']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Mohan S,Good packing. Fast delivery. I'm really satisfied .😊 Thank you daraz.👍,Good packing. Fast delivery. I'm really satisfied .smiling face with smiling eyes Thank you daraz.thumbs up,good packing fast delivery im really satisfied smiling face with smiling eyes thank you darazthumbs up,"['good', 'packing', 'fast', 'delivery', 'im', 'really', 'satisfied', 'smiling', 'face', 'smiling', 'eyes', 'thank', 'darazthumbs']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Jayathilaka,Well packed all these things amazing..highly recommended💕,Well packed all these things amazing..highly recommendedtwo hearts,well packed all these things amazinghighly recommendedtwo hearts,"['well', 'packed', 'things', 'amazinghighly', 'recommendedtwo', 'hearts']"
"Rin Refresh Detergent Powder, 500g",Laundry,3.0,Niroshan S,Safely packed. Original products.,Safely packed. Original products.,safely packed original products,"['safely', 'packed', 'original', 'products']"
"Rin Refresh Detergent Powder, 500g",Laundry,5.0,Dinidu,safely packed. good seller,safely packed. good seller,safely packed good seller,"['safely', 'packed', 'good', 'seller']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Buddhika,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.,good quality product good packing fast delivery highly recommended thank you daraz,"['good', 'quality', 'product', 'good', 'packing', 'fast', 'delivery', 'highly', 'recommended', 'thank', 'daraz']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,1.0,Sachintha,Price is different. ,Price is different. ,price is different ,"['price', 'different']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Nipuna W,Quick delivery.nicely packed.Item as described.Recommended,Quick delivery.nicely packed.Item as described.Recommended,quick deliverynicely packeditem as describedrecommended,"['quick', 'deliverynicely', 'packeditem', 'describedrecommended']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Yaswanth,received within 24h 😊 in good condition ☺️. well packed.,received within 24h smiling face with smiling eyes in good condition smiling face. well packed.,received within 24h smiling face with smiling eyes in good condition smiling face well packed,"['received', 'within', '24h', 'smiling', 'face', 'smiling', 'eyes', 'good', 'condition', 'smiling', 'face', 'well', 'packed']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,2.0,Mohamed A,so many damages to box of the package ,so many damages to box of the package ,so many damages to box of the package ,"['many', 'damages', 'box', 'package']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Sujeewa,"Good quality, well packed and quick delivery.","Good quality, well packed and quick delivery.",good quality well packed and quick delivery,"['good', 'quality', 'well', 'packed', 'quick', 'delivery']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Kapila L,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday daraz❤,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday darazred heart,received in good condition super fast delivery received within few hours after i place the order sold it for less price than the market price thanks and happy bday darazred heart,"['received', 'good', 'condition', 'super', 'fast', 'delivery', 'received', 'within', 'hours', 'place', 'order', 'sold', 'less', 'price', 'market', 'price', 'thanks', 'happy', 'bday', 'darazred', 'heart']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,2.0,Shoumiyan,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,"['5', 'repees', 'less', 'sunlight', 'soap', 'orginal', 'cost', '55', 'rupees', 'local', 'sellers', 'area', 'also', 'reduce', '5', 'rupees']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,3.0,Susanthie M,Not upto my expectations. I find Wonderlight soap better in my washing purposes.,Not upto my expectations. I find Wonderlight soap better in my washing purposes.,not upto my expectations i find wonderlight soap better in my washing purposes,"['upto', 'expectations', 'find', 'wonderlight', 'soap', 'better', 'washing', 'purposes']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Mohamed R,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,"['got', 'products', 'huge', 'discounted', 'price', 'delivered', 'less', '3', 'hours', 'placing', 'order']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,4.0,Hasitha H,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom,i received my package earlierthanks a lot daraz good customer serviceriders service is supperb credit goes to hom,"['received', 'package', 'earlierthanks', 'lot', 'daraz', 'good', 'customer', 'serviceriders', 'service', 'supperb', 'credit', 'goes', 'hom']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Rangika,Fine Same as picture.,Fine Same as picture.,fine same as picture,"['fine', 'picture']"
Diva Rose Fresh Laundry Detergent Soap 115G,Laundry,5.0,Viyajaratnam,Much appreciated,Much appreciated,much appreciated,"['much', 'appreciated']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Thiyakaraja K.,It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell 👃 is ok 👍,It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell nose is ok thumbs up,its quality is ok but not a high quality product delivery time is very long they take 36 days to delivered delivery very slow smell nose is ok thumbs up,"['quality', 'ok', 'high', 'quality', 'product', 'delivery', 'time', 'long', 'take', '36', 'days', 'delivered', 'delivery', 'slow', 'smell', 'nose', 'ok', 'thumbs']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Kamal S,Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.,Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.,good product worth for money can recommend the seller delivered quickly and safely by the way this was my second order,"['good', 'product', 'worth', 'money', 'recommend', 'seller', 'delivered', 'quickly', 'safely', 'way', 'second', 'order']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Kajapapu,Good product. Delivery is very slow. Because they take more than 5days to deliver. ,Good product. Delivery is very slow. Because they take more than 5days to deliver. ,good product delivery is very slow because they take more than 5days to deliver ,"['good', 'product', 'delivery', 'slow', 'take', '5days', 'deliver']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Wiraj N,Good product & fast Delivery. My first order. Highly Recommended this seller 👍,Good product & fast Delivery. My first order. Highly Recommended this seller thumbs up,good product  fast delivery my first order highly recommended this seller thumbs up,"['good', 'product', 'fast', 'delivery', 'first', 'order', 'highly', 'recommended', 'seller', 'thumbs']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,1.0,M.M.Asjath,delivery too much late ,delivery too much late ,delivery too much late ,"['delivery', 'much', 'late']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Iynaz N,very low quality.... 😕 ,very low quality.... confused face ,very low quality confused face ,"['low', 'quality', 'confused', 'face']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Pubudu P,No fragrance ,No fragrance ,no fragrance ,['fragrance']
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,4.0,Narmatha,Good smell ,Good smell ,good smell ,"['good', 'smell']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,3.0,Rushanth,I Ordered conditioner … but I received dish wash But anyway I return it …. But products are so valuable but customer service 👎,I Ordered conditioner … but I received dish wash But anyway I return it …. But products are so valuable but customer service thumbs down,i ordered conditioner  but i received dish wash but anyway i return it  but products are so valuable but customer service thumbs down,"['ordered', 'conditioner', 'received', 'dish', 'wash', 'anyway', 'return', 'products', 'valuable', 'customer', 'service', 'thumbs']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,5.0,Nishanth,This fabric softener is soo good and affordable too. I hope to buy more in future. Thank you for great customer service.,This fabric softener is soo good and affordable too. I hope to buy more in future. Thank you for great customer service.,this fabric softener is soo good and affordable too i hope to buy more in future thank you for great customer service,"['fabric', 'softener', 'soo', 'good', 'affordable', 'hope', 'buy', 'future', 'thank', 'great', 'customer', 'service']"
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Laundry,2.0,Rajiv S,"useless product. After wash don't get the fragrance, I get only the washing powder fragrance. supplier inform manufacture not to cheat the consumers. ","useless product. After wash don't get the fragrance, I get only the washing powder fragrance. supplier inform manufacture not to cheat the consumers. ",useless product after wash dont get the fragrance i get only the washing powder fragrance supplier inform manufacture not to cheat the consumers ,"['useless', 'product', 'wash', 'dont', 'get', 'fragrance', 'get', 'washing', 'powder', 'fragrance', 'supplier', 'inform', 'manufacture', 'cheat', 'consumers']"
